UserId,FirstName,LastName,Suffix,Gender,Status,CheckedIn,Email
35,Gaspar,Harburtson,,male,registered,0,gharburtsony@zdnet.com
36,Isis,Dmitr,,other,invited,1,idmitrz@howstuffworks.com
37,Leigh,Lars,,male,active,0,llars10@nbcnews.com
38,Brittne,Bettis,,male,invited,0,bbettis11@guardian.co.uk
39,Nana,Glasman,,other,active,0,nglasman12@behance.net
40,Aeriela,McGooch,,male,active,0,amcgooch13@tiny.cc
41,Briny,Meadway,,male,invited,0,bmeadway14@springer.com
42,Roanna,Eastwood,,female,registered,0,reastwood15@howstuffworks.com
43,Jaine,Heskins,,female,active,0,jheskins16@ustream.tv
44,Elysha,Dacca,,other,invited,0,edacca17@instagram.com
45,Jeni,Titchen,,male,registered,0,jtitchen18@blogger.com
46,Pippy,Coldwell,,female,active,1,pcoldwell19@simplemachines.org
47,Tedi,McEttigen,,female,registered,1,tmcettigen1a@biblegateway.com
48,Salem,Seggie,,other,invited,0,sseggie1b@dion.ne.jp
49,Bennie,Kesterton,,male,active,0,bkesterton1c@fotki.com
50,Jarret,Amaya,,male,registered,1,jamaya1d@cnn.com
51,Dorena,Babcock,,female,invited,1,dbabcock1e@google.ru
52,Jerry,Van Leeuwen,,female,active,1,jvanleeuwen1f@clickbank.net
53,Mariya,Frew,,other,active,0,mfrew1g@wordpress.com
54,Susann,Stempe,III,male,active,0,sstempe1h@kickstarter.com
55,Gun,Michelle,,female,invited,0,gmichelle1i@redcross.org
56,Milzie,Braidwood,,female,registered,1,mbraidwood1j@uiuc.edu
57,Kippy,Breede,,other,invited,1,kbreede1k@tinypic.com
58,Lars,Muller,,,active,1,lmuller1l@amazon.de
59,Brigg,Winston,,male,invited,1,bwinston1m@sphinn.com
60,Elmore,Iannetti,,male,registered,0,eiannetti1n@vimeo.com
61,Marji,Biasotti,IV,other,active,0,mbiasotti1o@constantcontact.com
62,Fraze,Grabb,,other,active,1,fgrabb1p@exblog.jp
63,Curran,Ramsdale,,male,registered,0,cramsdale1q@pen.io
64,Dosi,Snawdon,III,,active,0,dsnawdon1r@ihg.com
65,Bentlee,Tellett,,,invited,0,btellett1s@addthis.com
66,Alina,Rodgerson,,female,registered,0,arodgerson1t@tinypic.com
67,Hesther,O' Loughran,,female,active,1,holoughran1u@squarespace.com
68,Royce,Smitherham,,other,invited,1,rsmitherham1v@apache.org
69,Agathe,Sultan,,male,registered,0,asultan1w@dropbox.com
70,Janith,Adriaan,,female,active,1,jadriaan1x@reuters.com
71,Damiano,Vamplus,,female,registered,1,dvamplus1y@paginegialle.it
72,Justine,Crean,,,active,0,jcrean1z@ucla.edu
73,Ulises,Kintzel,,,registered,0,ukintzel20@miitbeian.gov.cn
74,Hirsch,Lamp,,other,active,0,hlamp21@woothemes.com
75,Carol,Whittlesea,,male,registered,0,cwhittlesea22@friendfeed.com
76,Schuyler,Bottell,,female,invited,1,sbottell23@indiegogo.com
77,Mellisent,Whitfeld,,other,registered,1,mwhitfeld24@reuters.com
78,Parnell,Northidge,,male,active,1,pnorthidge25@godaddy.com
79,Lay,Avramovsky,,,invited,1,lavramovsky26@hostgator.com
80,Kelvin,Rake,Jr,female,active,1,krake27@about.me
81,Jeffrey,Doddemeade,,other,registered,0,jdoddemeade28@deliciousdays.com
82,Milty,Gott,,other,invited,0,mgott29@who.int
83,Lira,Meehan,,male,invited,0,lmeehan2a@discovery.com
84,Philipa,Brownfield,,other,invited,1,pbrownfield2b@pen.io
85,Erica,Vaskin,,other,registered,1,evaskin2c@seesaa.net
86,Kimberlyn,Suttell,,female,registered,0,ksuttell2d@bizjournals.com
87,Clayton,Belfelt,,male,active,1,cbelfelt2e@wordpress.com
88,Fidel,Del Checolo,,other,registered,0,fdelchecolo2f@bing.com
89,Chadwick,Estevez,,female,invited,1,cestevez2g@dion.ne.jp
90,Bay,Ockenden,,male,invited,1,bockenden2h@topsy.com
91,Dav,Ganforth,,female,active,1,dganforth2i@aboutads.info
92,Torrance,McIlwrath,,other,active,1,tmcilwrath2j@huffingtonpost.com
93,Ivie,Reidshaw,,other,active,0,ireidshaw2k@hc360.com
94,Patric,Shenfish,,female,registered,0,pshenfish2l@cdc.gov
95,Nickola,Jeannot,,male,registered,0,njeannot2m@oracle.com
96,Hillie,Sammes,,other,active,0,hsammes2n@pinterest.com
97,Aloisia,Hoffmann,,other,invited,1,ahoffmann2o@nymag.com
98,Elora,Billingsley,Sr,male,invited,1,ebillingsley2p@wikia.com
99,Shep,Crosse,,female,registered,1,scrosse2q@vk.com
100,Daniele,Blackah,,other,active,0,dblackah2r@free.fr
101,Daniel,Peach,,male,active,0,djpeach@iu.edu
102,Ashley,Harris,,female,active,0,harris16@iu.edu
103,Daniel,Northam,,male,active,0,dnortham@iu.edu
104,Kate,Davis,,female,active,0,kadadavi@iu.edu
105,Andy,Harris,,male,active,0,ajharris@iupui.edu
106,Lingma,Acheson,,female,active,0,linglu@iupui.edu
107,Ethan,Netsch,,male,active,0,enetsch@iu.edu
108,Robert,Yost,,male,active,0,ryost@iupui.edu
